query_genus,clade,n_proteins,strain_id,species,locality,habitat,latitude,longitude,elevation,sampling_site,region,marine
Flavobacterium,Bacteria,105,PAMC 22311,Flavobacterium sp.,Kongsfijorden 선착장/Ny-Ålesund/Svalbard/Norway/Europe,Biofilm,78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Biofilm Host Culture conditions Media ZoBell agar [2] Temperature(°,Arctic,False
Flavobacterium,Bacteria,105,PAMC 22313,Flavobacterium degerlachei,Kongsfijorden 선착장/Ny-Ålesund/Svalbard/Norway/Europe,Biofilm,78.92267,11.89147,,Environment Temperature(°C) pH Salinity(ppt) Habitat Biofilm Host Culture conditions Media ZoBell agar [2] Temperature(°,Arctic,False
Flavobacterium,Bacteria,105,PAMC 25122,Flavobacterium gelidilacus,제주도 남단 이어도 해상 과학기지/Ieodo/Jeju Island/Korea/Asia,Water (sea),32.0,126.0,,Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media R2A agar [6] Temperature(,Other,True
Flavobacterium,Bacteria,105,PAMC 25123,Flavobacterium gelidilacus,제주도 남단 이어도 해상 과학기지/Ieodo/Jeju Island/Korea/Asia,Water (sea),32.0,126.0,,Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media R2A agar [6] Temperature(,Other,True
Flavobacterium,Bacteria,105,PAMC 25125,Flavobacterium gelidilacus,제주도 남단 이어도 해상 과학기지/Ieodo/Jeju Island/Korea/Asia,Water (sea),32.0,126.0,,Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media R2A agar [6] Temperature(,Other,True
Flavobacterium,Bacteria,105,PAMC 25146,Flavobacterium weaverense,제주도 남단 이어도 해상 과학기지/Ieodo/Jeju Island/Korea/Asia,Water (sea),32.0,126.0,,Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media R2A agar [6] Temperature(,Other,True
Flavobacterium,Bacteria,105,PAMC 25149,Flavobacterium sp.,세종기지/펭귄마을 오르기전 해안/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (sea),-62.2334,-58.77642,,펭귄들의 이동 통로 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media R2A agar [6] >,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 25151,Flavobacterium degerlachei,세종기지/펭귄마을 방향 해안가 바위 위/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (sea),-62.22418,-58.7859,,수위가 높을때 들어온 해수가 정체되어 있는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 25152,Flavobacterium sp.,세종기지/촛대바위 지나 연결된 해안/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (fresh),-62.23733,-58.74273,,스쿠아 목욕탕이라 불리는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (fresh) Host Culture conditions Media R2A aga,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 25153,Flavobacterium sp.,세종기지/촛대바위 지나 연결된 해안/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (fresh),-62.23733,-58.74273,,스쿠아 목욕탕이라 불리는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (fresh) Host Culture conditions Media R2A aga,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 25160,Flavobacterium sp.,세종기지/펭귄마을 방향 해안가 바위 위/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (sea),-62.22418,-58.7859,,수위가 높을때 들어온 해수가 정체되어 있는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 25165,Flavobacterium degerlachei,세종기지/펭귄마을 방향 해안가 바위 위/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (sea),-62.22418,-58.7859,,수위가 높을때 들어온 해수가 정체되어 있는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 25178,Flavobacterium sp.,세종기지/펭귄마을 방향 해안가 바위 위/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (sea),-62.22418,-58.7859,,수위가 높을때 들어온 해수가 정체되어 있는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (sea) Host Culture conditions Media,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 25282,Flavobacterium sp.,세종기지/촛대바위 지나 연결된 해안/Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Water (fresh),-62.23733,-58.74273,,스쿠아 목욕탕이라 불리는 곳 Environment Temperature(°C) pH Salinity(ppt) Habitat Water (fresh) Host Culture conditions Media R2A aga,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 25516,Flavobacterium sp.,"Ny-Alesund, Spitsbergen, Norway/Ny-Ålesund/Svalbard/Norway/Europe",Soil (terrestrial),78.91237,11.95708,,"타운에서 동쪽길(사격장 아래)끝, 폐광 목재더미 Environment Temperature(°C) pH Salinity(ppt) Habitat Soil (terrestrial) Host Culture conditio",Arctic,False
Flavobacterium,Bacteria,105,PAMC 25666,Flavobacterium xinjiangense,"Pasterze - Großglockner,Hohe Tauern/Innsbruck/Tyrol/Austria/Europe",Cryoconite,47.04,12.41,2200,human impact,Alpine,False
Flavobacterium,Bacteria,105,PAMC 25786,Flavobacterium xinjiangense,"Pitztaler Jöchl Ferner, Ötztaler Alps/Innsbruck/Tyrol/Austria/Europe",Cryoconite,47.04,12.41,2875,human impact,Alpine,False
Flavobacterium,Bacteria,105,PAMC 25825,Flavobacterium xinjiangense,"Pitztaler Jöchl Ferner, Ötztaler Alps/Innsbruck/Tyrol/Austria/Europe",Cryoconite,47.04,12.41,2875,human impact,Alpine,False
Flavobacterium,Bacteria,105,PAMC 25873,Flavobacterium xinjiangense,"Pitztaler Jöchl Ferner, Ötztaler Alps/Innsbruck/Tyrol/Austria/Europe",Cryoconite,47.04,12.41,2875,human impact,Alpine,False
Flavobacterium,Bacteria,105,PAMC 25907,Flavobacterium xinjiangense,Zugspitze - Zugspitz glacier/Innsbruck/Tyrol/Austria/Europe,Cryoconite,47.04,12.41,2620,human impact,Alpine,False
Flavobacterium,Bacteria,105,PAMC 26295,Flavobacterium succinicans,Mongol/Asia,Fresh water,,,,Environment Temperature(°C) pH Salinity(ppt) Habitat Fresh water Host Culture conditions Media 0.2X R2A agar [64] Temper,Other,False
Flavobacterium,Bacteria,105,PAMC 26836,Flavobacterium sp.,Yakutia/Russia/Europe,Terrestrial soil,,,,Environment Temperature(°C) pH Salinity(ppt) Habitat Terrestrial soil Host Culture conditions Media Selection media1 [92,Other,False
Flavobacterium,Bacteria,105,PAMC 27098,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27099,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27101,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27102,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27103,Flavobacterium gelidilacus,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27115,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27122,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27123,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27124,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27125,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27131,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27133,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27134,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27207,Flavobacterium sp.,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27227,Flavobacterium gelidilacus,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27290,Flavobacterium aquidurense,King George Island/South Shetland Islands/Antarctica,Terrestrial soil,,,,Environment Temperature(°C) pH Salinity(ppt) Habitat Terrestrial soil Host Culture conditions Media MSB+Xylan agar or Hu,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 27380,Flavobacterium frigidarium,Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Sea water,-62.21967,-58.78667,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sea water Host Culture conditions Media R2A agar [6] Temperature(°C,Antarctic,True
Flavobacterium,Bacteria,105,PAMC 27384,Flavobacterium hydatis,Ardley Island/South Shetland Islands/Antarctica,Lichen,-62.2065,-58.9205,,Environment Temperature(°C) pH Salinity(ppt) Habitat Lichen Host Culture conditions Media R2A agar [6] Temperature(°C) p,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 27425,Flavobacterium sp.,Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Terrestrial soil,-62.21967,-58.78667,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sea water Host Culture conditions Media R2A agar [6] Temperature(°C,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 27426,Flavobacterium sp.,Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Terrestrial soil,-62.21967,-58.78667,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sea water Host Culture conditions Media R2A agar [6] Temperature(°C,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 27427,Flavobacterium sp.,Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Terrestrial soil,-62.21967,-58.78667,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sea water Host Culture conditions Media R2A agar [6] Temperature(°C,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 27456,Flavobacterium sp.,Barton Peninsula/King George Island/South Shetland Islands/Antarctica,Terrestrial soil,-62.21967,-58.78667,,Environment Temperature(°C) pH Salinity(ppt) Habitat Sea water Host Culture conditions Media R2A agar [6] Temperature(°C,Antarctic,False
Flavobacterium,Bacteria,105,PAMC 28614,Flavobacterium sp.,Midtre Lovenbreen/Svalbard/Norway/Europe,Terrestrial soil,,,,Environment Temperature(°C) pH Salinity(ppt) Habitat Terrestrial soil Host Culture conditions Media Temperature(°C) pH A,Arctic,False
Cryobacterium,Bacteria,34,PAMC 27129,Cryobacterium psychrotolerans,Ross sea/Antarctica,Sea sediment,,,,Environment Temperature(°C) 7.74 pH -2.2 Salinity(ppt) 15 Habitat Sea sediment Host Culture conditions Media Marine agar,Antarctic,True
Cryobacterium,Bacteria,34,PAMC 27841,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27849,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27853,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27856,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27862,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27867,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27869,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27870,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27871,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27885,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27899,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27907,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27916,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27917,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27922,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27927,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27940,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27941,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27943,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27944,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27949,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27952,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27954,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27955,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27956,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27964,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27965,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27966,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27972,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27973,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27977,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27980,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27987,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 27988,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28085,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28086,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28089,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28090,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28093,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28106,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28107,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
Cryobacterium,Bacteria,34,PAMC 28128,Cryobacterium arcticum,Northern Victoria Land (NVL)/Antarctica,Rock,-72.69727,165.99457,-,Environment Temperature(°C) pH Salinity(ppt) Habitat Rock Host Culture conditions Media Temperature(°C) pH Aeration aero,Antarctic,False
